season,mechanism,alpha,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_entropy,tpi_season_avg,fan_vs_uniform_contrast,robust_fail_rate,outlier_mult
14,dynamic_weight,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.4,1.320097732079709,0.7930522007514762,0.6,0.8,10.0
14,percent_cap,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.38,1.42189211417958,0.7833151128259825,0.62,0.8,2.0
14,percent_cap,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.38,1.42189211417958,0.7833151128259825,0.62,0.88,5.0
14,percent_cap,0.5,50,3,Katherine Jenkins,Katherine Jenkins,0.38,1.42189211417958,0.7833151128259825,0.62,0.8,10.0
15,percent,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.36,1.4378945276967379,0.6902977364768147,0.7,0.8,2.0
15,percent,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.36,1.4378945276967379,0.6902977364768147,0.7,0.88,5.0
15,percent,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.36,1.4378945276967379,0.6902977364768147,0.7,0.88,10.0
15,rank,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.78,0.6589444975265022,0.7596115509490511,0.22,0.22,2.0
15,rank,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.78,0.6589444975265022,0.7596115509490511,0.22,0.34,5.0
15,rank,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.78,0.6589444975265022,0.7596115509490511,0.22,0.42,10.0
15,percent_judge_save,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.42,1.2600791020729154,0.7252085052765325,0.64,0.74,2.0
15,percent_judge_save,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.42,1.2600791020729154,0.7252085052765325,0.64,0.86,5.0
15,percent_judge_save,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.42,1.2600791020729154,0.7252085052765325,0.64,0.86,10.0
15,percent_sqrt,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.36,1.4378945276967379,0.6902977364768147,0.7,0.8,2.0
15,percent_sqrt,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.36,1.4378945276967379,0.6902977364768147,0.7,0.86,5.0
15,percent_sqrt,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.36,1.4378945276967379,0.6902977364768147,0.7,0.88,10.0
15,percent_log,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.3,1.6347212413896794,0.6787894982402558,0.7,0.84,2.0
15,percent_log,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.3,1.6347212413896794,0.6787894982402558,0.7,0.88,5.0
15,percent_log,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.3,1.6347212413896794,0.6787894982402558,0.7,0.9,10.0
15,dynamic_weight,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.32,1.5462131578531224,0.6897356571903674,0.68,0.8,2.0
15,dynamic_weight,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.32,1.5462131578531224,0.6897356571903674,0.68,0.9,5.0
15,dynamic_weight,0.5,50,3,Melissa Rycroft,Melissa Rycroft,0.32,1.5462131578531224,0.6897356571903674,0.68,0.86,10.0
15,percent_cap,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.32,1.5508515299580345,0.6817763640680309,0.72,0.82,2.0
15,percent_cap,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.32,1.5508515299580345,0.6817763640680309,0.72,0.86,5.0
15,percent_cap,0.5,50,3,Melissa Rycroft,Shawn Johnson,0.32,1.5508515299580345,0.6817763640680309,0.72,0.86,10.0
16,percent,0.5,50,4,Kellie Pickler,Jacoby Jones,0.38,1.0909076040735128,0.7890126262626262,0.66,0.8,2.0
16,percent,0.5,50,4,Kellie Pickler,Jacoby Jones,0.38,1.0909076040735128,0.7890126262626262,0.66,0.84,5.0
16,percent,0.5,50,4,Kellie Pickler,Jacoby Jones,0.38,1.0909076040735128,0.7890126262626262,0.66,0.88,10.0
16,rank,0.5,50,4,Kellie Pickler,Zendaya,0.52,0.6923469670899615,0.871396536796537,0.52,0.48,2.0
16,rank,0.5,50,4,Kellie Pickler,Zendaya,0.52,0.6923469670899615,0.871396536796537,0.52,0.4,5.0
16,rank,0.5,50,4,Kellie Pickler,Zendaya,0.52,0.6923469670899615,0.871396536796537,0.52,0.4,10.0
16,percent_judge_save,0.5,50,4,Kellie Pickler,Zendaya,0.34,1.1742736862155725,0.8026054112554113,0.68,0.76,2.0
16,percent_judge_save,0.5,50,4,Kellie Pickler,Zendaya,0.34,1.1742736862155725,0.8026054112554113,0.68,0.74,5.0
16,percent_judge_save,0.5,50,4,Kellie Pickler,Zendaya,0.34,1.1742736862155725,0.8026054112554113,0.68,0.78,10.0
16,percent_sqrt,0.5,50,4,Kellie Pickler,Jacoby Jones,0.38,1.0909076040735128,0.7890126262626262,0.66,0.86,2.0
16,percent_sqrt,0.5,50,4,Kellie Pickler,Jacoby Jones,0.38,1.0909076040735128,0.7890126262626262,0.66,0.86,5.0
16,percent_sqrt,0.5,50,4,Kellie Pickler,Jacoby Jones,0.38,1.0909076040735128,0.7890126262626262,0.66,0.88,10.0
16,percent_log,0.5,50,4,Kellie Pickler,Jacoby Jones,0.36,1.2175988419541266,0.7938404040404042,0.72,0.76,2.0
16,percent_log,0.5,50,4,Kellie Pickler,Jacoby Jones,0.36,1.2175988419541266,0.7938404040404042,0.72,0.82,5.0
16,percent_log,0.5,50,4,Kellie Pickler,Jacoby Jones,0.36,1.2175988419541266,0.7938404040404042,0.72,0.8,10.0
16,dynamic_weight,0.5,50,4,Kellie Pickler,Jacoby Jones,0.34,1.098209540353189,0.7982777056277055,0.66,0.9,2.0
16,dynamic_weight,0.5,50,4,Kellie Pickler,Jacoby Jones,0.34,1.098209540353189,0.7982777056277055,0.66,0.82,5.0
16,dynamic_weight,0.5,50,4,Kellie Pickler,Jacoby Jones,0.34,1.098209540353189,0.7982777056277055,0.66,0.82,10.0
16,percent_cap,0.5,50,4,Kellie Pickler,Jacoby Jones,0.36,1.097032390352067,0.7944500721500722,0.68,0.8,2.0
16,percent_cap,0.5,50,4,Kellie Pickler,Jacoby Jones,0.36,1.097032390352067,0.7944500721500722,0.68,0.8,5.0
16,percent_cap,0.5,50,4,Kellie Pickler,Jacoby Jones,0.36,1.097032390352067,0.7944500721500722,0.68,0.84,10.0
17,percent,0.5,50,4,Amber Riley,Corbin Bleu,0.4,1.2390207024066802,0.7623010625737899,0.7,0.74,2.0
17,percent,0.5,50,4,Amber Riley,Corbin Bleu,0.4,1.2390207024066802,0.7623010625737899,0.7,0.88,5.0
17,percent,0.5,50,4,Amber Riley,Corbin Bleu,0.4,1.2390207024066802,0.7623010625737899,0.7,0.88,10.0
17,rank,0.5,50,4,Amber Riley,Corbin Bleu,0.52,0.7754854663295665,0.8411814246359701,0.54,0.56,2.0
17,rank,0.5,50,4,Amber Riley,Corbin Bleu,0.52,0.7754854663295665,0.8411814246359701,0.54,0.54,5.0
17,rank,0.5,50,4,Amber Riley,Corbin Bleu,0.52,0.7754854663295665,0.8411814246359701,0.54,0.5,10.0
17,percent_judge_save,0.5,50,4,Amber Riley,Corbin Bleu,0.4,1.0549201679861442,0.8017040535222353,0.6,0.78,2.0
17,percent_judge_save,0.5,50,4,Amber Riley,Corbin Bleu,0.4,1.0549201679861442,0.8017040535222353,0.6,0.94,5.0
17,percent_judge_save,0.5,50,4,Amber Riley,Corbin Bleu,0.4,1.0549201679861442,0.8017040535222353,0.6,0.92,10.0
17,percent_sqrt,0.5,50,4,Amber Riley,Corbin Bleu,0.38,1.368927973212369,0.7327038698675062,0.74,0.7,2.0
17,percent_sqrt,0.5,50,4,Amber Riley,Corbin Bleu,0.38,1.368927973212369,0.7327038698675062,0.74,0.84,5.0
17,percent_sqrt,0.5,50,4,Amber Riley,Corbin Bleu,0.38,1.368927973212369,0.7327038698675062,0.74,0.92,10.0
17,percent_log,0.5,50,4,Amber Riley,Amber Riley,0.3,1.6347212413896797,0.7014057409867069,0.7,0.74,2.0
