season,week,tv_distance,rank_corr,n_contestants
26,1,0.08233345447443222,0.5030303030303029,10
26,2,0.2199826880822888,0.2142857142857143,8
26,3,0.12885199981882528,0.8285714285714287,6
26,4,0.005995172247169223,0.5,3
27,1,0.0479643618437438,0.26373626373626374,13
27,2,0.057038015334918535,0.04195804195804196,12
27,3,0.0649697343454953,0.09090909090909091,11
27,4,0.3509806759243687,0.5393939393939393,10
27,5,0.03286194868357702,-0.38333333333333336,9
27,6,0.09718830091334954,0.06666666666666667,9
27,7,0.09796457639582155,0.4761904761904762,8
27,8,0.21944641292443873,0.8285714285714287,6
27,9,0.02461355723903974,0.0,4
28,1,0.016084852566425348,0.3636363636363637,12
28,2,0.069038243619758,0.6433566433566434,12
28,3,0.030263673012971185,-0.406060606060606,10
28,4,0.057664177550566784,0.43030303030303024,10
28,5,0.02550182625225461,0.09999999999999999,9
28,6,0.21486833884746198,0.6166666666666666,9
28,7,0.07446002665697773,0.6904761904761906,8
28,8,0.06940364849393667,0.6785714285714287,7
28,9,0.07082310705583666,0.14285714285714288,6
28,10,0.05304720762663782,0.3,5
28,11,0.03540835732200938,-0.6000000000000001,4
29,1,0.019347861884313793,0.13214285714285715,15
29,2,0.04272905149573266,0.10714285714285714,15
29,3,0.03815815988949416,0.23076923076923075,14
29,4,0.04123851094885481,0.35714285714285715,13
29,5,0.04399824771592256,0.3216783216783217,12
29,6,0.037060018437918285,0.5818181818181819,11
29,7,0.04542619285102781,0.5878787878787878,10
29,8,0.07663582968815989,0.6428571428571429,8
29,9,0.056723260296624146,0.28571428571428575,7
29,10,0.04144871175162651,0.8857142857142858,6
29,11,0.016549389019496222,0.19999999999999998,4
30,1,0.01850650526905454,0.2321428571428571,15
30,2,0.04930119803231787,0.1714285714285714,15
30,3,0.12712397986183804,0.21318681318681318,14
30,4,0.07137010312081132,0.5549450549450549,13
30,5,0.20002479951254593,0.18181818181818182,11
30,6,0.043375510881557305,0.5030303030303029,10
30,7,0.04531008350937695,0.09999999999999999,9
30,8,0.06820955289592945,0.8095238095238096,8
30,9,0.13311342256783837,0.6571428571428573,6
30,10,0.031061389429299077,0.19999999999999998,4
31,1,0.05210596424096556,-0.032352941176470584,16
31,2,0.048459044524197185,0.08214285714285713,15
31,3,0.038184180625040705,0.5120879120879122,14
31,4,0.060228117080272744,0.09890109890109891,13
31,5,0.2988239132397852,0.5874125874125874,12
31,6,0.03899382407734457,0.5393939393939393,10
31,7,0.04002069640049922,0.7,9
31,8,0.06820834978050525,0.5000000000000001,8
31,9,0.07970503925497503,0.8285714285714287,6
31,10,0.011132926851095043,0.7999999999999999,4
32,1,0.04842820527318454,-0.06813186813186813,14
32,2,0.06510597186721707,0.5054945054945055,13
32,3,0.04380392777485953,0.27272727272727276,12
32,4,0.10493632041093759,0.46363636363636374,11
32,5,0.04908750158947841,0.13939393939393938,10
32,6,0.0789453346364202,0.5333333333333333,9
32,7,0.19698552120564694,0.7142857142857144,8
32,8,0.07187612886284735,0.39285714285714296,7
32,9,0.024839138996900025,0.7142857142857143,6
32,10,0.030357330757472642,-0.3,5
32,11,0.023172076428377653,0.0,5
33,1,0.02394507141148055,-0.17032967032967034,13
33,2,0.09859313030866172,0.6758241758241759,13
33,3,0.04939090108281628,0.3181818181818182,11
33,4,0.06933493065283013,0.9333333333333332,9
33,5,0.04472553739590673,0.8333333333333335,8
33,6,0.14135829085154925,0.8928571428571429,7
33,7,0.05130331970811558,0.14285714285714288,6
33,8,0.04745189546641419,-0.8999999999999998,5
33,9,0.028607362898657937,-0.09999999999999999,5
34,1,0.031062700452814746,-0.006593406593406593,14
34,2,0.0449918426356146,0.6307692307692307,14
34,3,0.04007399680259917,0.5594405594405596,12
34,4,0.13272433834784342,0.3545454545454546,11
34,5,0.01582940505362144,0.35757575757575755,10
34,6,0.045638226341265485,0.49090909090909085,10
34,7,0.0613847985547648,0.7999999999999999,9
34,8,0.039781373704303874,0.09523809523809526,8
34,9,0.053547374801114794,0.3214285714285715,7
34,10,0.1805340944559476,0.3714285714285715,6
34,11,0.026424366393062518,-0.6,5
